=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2020-11-12_5-5-50
====================================================================================
5:5:50 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
5:5:50 | [PermissionManager] Loaded UserGroups.vpp
5:5:50 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
5:5:50 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
5:5:50 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
5:5:50 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
5:5:50 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
5:5:50 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
5:5:50 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
5:5:50 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
5:5:50 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
5:5:50 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
5:5:50 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
5:5:50 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
5:5:50 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
5:5:50 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
5:5:50 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
5:5:50 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
5:5:50 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
5:5:50 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
5:5:50 | Building Sets Loaded: 2
5:6:40 | Player "Zendat" (steamId=76561198016128834) connected to server!
5:7:11 | Player "Zendat" (steamId=76561198016128834) connected to server!
5:7:34 | [WeatherManager] Send Data Count is 0
5:7:39 | [Time Manager] Setting Date to 2020/9/20 8:6
5:9:39 | Player "NeoHoffmann" (steamId=76561198056373092) connected to server!
5:9:46 | Player "SrBob" (steamId=76561198058254907) connected to server!
5:10:11 | Player "NeoHoffmann" (steamId=76561198056373092) connected to server!
5:10:18 | Player "SrBob" (steamId=76561198058254907) connected to server!
5:12:18 | "Zendat" (steamid=76561198016128834) healed player (steamid=76561198058254907)
5:12:28 | "NeoHoffmann" (steamid=76561198056373092) gave godmode to (steamid=76561198056373092)
5:12:56 | "Zendat": (steamid=76561198016128834) teleported to (pos=3708.64,0,6006.33)
5:13:4 | "Zendat": (steamid=76561198016128834) teleported to (pos=3701.18,0,5986.22)
5:13:12 | "Zendat" (steamid=76561198016128834) healed player (steamid=76561198056373092)
5:13:12 | "Zendat" (steamid=76561198016128834) healed player (steamid=76561198058254907)
5:13:24 | "Zendat" (steamid=76561198016128834) gave godmode to (steamid=76561198016128834)
5:13:26 | "Zendat" (steamid=76561198016128834) gave unlimited ammo to (steamid=76561198016128834)
5:18:17 | "Zendat": (steamid=76561198016128834) teleported to (pos=8349.49,0,5989.55)
5:18:18 | "Zendat": (steamid=76561198016128834) teleported to (pos=8349.49,0,5989.55)
5:20:14 | Player "SrBob" (steamId=76561198058254907) disconnected from server.
5:21:54 | Player "SrBob" (steamId=76561198058254907) connected to server!
5:22:25 | Player "SrBob" (steamId=76561198058254907) connected to server!
5:23:28 | "Zendat" (steamid=76561198016128834) gave unlimited ammo to (steamid=76561198016128834)
5:23:31 | "Zendat" (steamid=76561198016128834) gave unlimited ammo to (steamid=76561198016128834)
5:23:34 | "Zendat" (steamid=76561198016128834) gave godmode to (steamid=76561198016128834)
5:23:36 | "Zendat" (steamid=76561198016128834) gave godmode to (steamid=76561198016128834)
5:23:39 | "Zendat" (steamid=76561198016128834) gave godmode to (steamid=76561198016128834)
5:29:41 | Player "PACHECO" (steamId=76561198858102532) connected to server!
5:30:13 | Player "PACHECO" (steamId=76561198858102532) connected to server!
5:33:4 | Player "SrBob" (steamId=76561198058254907) disconnected from server.
5:33:5 | Player "SrBob" (steamId=76561198058254907) disconnected from server.
5:33:48 | Player "NeoHoffmann" (steamId=76561198056373092) disconnected from server.
5:33:49 | Player "NeoHoffmann" (steamId=76561198056373092) disconnected from server.
5:34:52 | "Zendat" (steamid=76561198016128834) Spawned Item: (M67Grenade)
5:35:15 | "Zendat" (steamid=76561198016128834) Spawned Item: (RGD5Grenade)
5:37:1 | "Zendat" (steamid=76561198016128834) healed player (steamid=76561198858102532)
5:37:4 | "Zendat" (steamid=76561198016128834) gave godmode to (steamid=76561198858102532)
5:37:42 | Player "Zendat" (steamId=76561198016128834) connected to server!
5:37:59 | Player "Zendat" (steamId=76561198016128834) connected to server!
5:38:25 | "Zendat" (steamid=76561198016128834) Spawned Item: (Ammo_GrenadeM4)
5:38:25 | "Zendat" (steamid=76561198016128834) Spawned Item: (UnderSlugGrenadeM4)
5:39:11 | Player "PACHECO" (steamId=76561198858102532) disconnected from server.
5:51:19 | Player "Yahnkko" (steamId=76561198208578793) connected to server!
5:51:50 | Player "Yahnkko" (steamId=76561198208578793) connected to server!
5:52:52 | Player "Yahnkko" (steamId=76561198208578793) connected to server!
5:52:54 | "Zendat" (steamid=76561198016128834) gave godmode to (steamid=76561198016128834)
5:52:57 | "Zendat" (steamid=76561198016128834) gave unlimited ammo to (steamid=76561198016128834)
5:53:7 | Player "Yahnkko" (steamId=76561198208578793) connected to server!
5:59:5 | "Zendat": (steamid=76561198016128834) teleported to (pos=10073.1,0,1624.82)
5:59:25 | Player "Yahnkko" (steamId=76561198208578793) connected to server!
5:59:40 | Player "Yahnkko" (steamId=76561198208578793) connected to server!
5:59:52 | "Zendat": (steamid=76561198016128834) teleported to (pos=3699.5,0,5984.94)
6:2:22 | Player "NeoHoffmann" (steamId=76561198056373092) connected to server!
6:2:53 | Player "NeoHoffmann" (steamId=76561198056373092) connected to server!
6:5:22 | "NeoHoffmann" (steamid=76561198056373092) /spawncar used on self.
6:6:26 | "NeoHoffmann" (steamid=76561198056373092) gave godmode to (steamid=76561198056373092)
6:6:31 | "NeoHoffmann" (steamid=76561198056373092) gave unlimited ammo to (steamid=76561198056373092)
6:7:47 | Player "NeoHoffmann" (steamId=76561198056373092) disconnected from server.
6:7:48 | Player "NeoHoffmann" (steamId=76561198056373092) disconnected from server.
6:9:41 | Player "Yahnkko" (steamId=76561198208578793) connected to server!
6:9:42 | Player "Yahnkko" (steamId=76561198208578793) connected to server!
6:10:4 | Player "Yahnkko" (steamId=76561198208578793) connected to server!
6:10:7 | Player "Yahnkko" (steamId=76561198208578793) disconnected from server.
6:10:12 | Player "Yahnkko" (steamId=76561198208578793) connected to server!
6:10:43 | Player "Yahnkko" (steamId=76561198208578793) connected to server!
6:20:39 | "Zendat": (steamid=76561198016128834) teleported to (pos=4503.12,0,8300.28)
6:20:41 | "Zendat": (steamid=76561198016128834) teleported to (pos=4503.12,0,8300.28)
6:31:1 | Player "Yahnkko" (steamId=76561198208578793) disconnected from server.
6:31:2 | Player "Yahnkko" (steamId=76561198208578793) disconnected from server.
6:35:36 | "Zendat": (steamid=76561198016128834) teleported to (pos=4500.35,0,10828.6)
6:37:4 | "Zendat" (steamid=76561198016128834) healed player (steamid=76561198016128834)
6:37:41 | "Zendat" (steamid=76561198016128834) gave godmode to (steamid=76561198016128834)
6:37:43 | "Zendat" (steamid=76561198016128834) gave godmode to (steamid=76561198016128834)
6:37:45 | "Zendat" (steamid=76561198016128834) gave unlimited ammo to (steamid=76561198016128834)
6:37:49 | "Zendat" (steamid=76561198016128834) gave unlimited ammo to (steamid=76561198016128834)
6:40:40 | Player "NeoHoffmann" (steamId=76561198056373092) connected to server!
6:41:26 | Player "NeoHoffmann" (steamId=76561198056373092) connected to server!
6:43:7 | "Zendat": (steamid=76561198016128834) teleported to (pos=4518.8,0,9598.81)
6:43:29 | "NeoHoffmann": (steamid=76561198056373092) teleported to (pos=8349.9,0,6030.88)
6:53:13 | "Zendat": (steamid=76561198016128834) teleported to (pos=5121.25,0,9824.76)
7:0:54 | "Zendat": (steamid=76561198016128834) teleported to (pos=12365,0,14269.7)
7:1:46 | "NeoHoffmann" (steamid=76561198056373092) /spawncar used on self.
7:3:19 | Player "NeoHoffmann" (steamId=76561198056373092) disconnected from server.
7:3:20 | Player "NeoHoffmann" (steamId=76561198056373092) disconnected from server.
7:9:57 | "Zendat": (steamid=76561198016128834) teleported to (pos=11396.1,0,11392)
7:17:57 | Player "Zendat" (steamId=76561198016128834) disconnected from server.
